id,name,author,content,tags
b575bab491f746938aa7af1fe05b2118,初春济南作,清代 王士祯,"
<br>
","春景,春天,喜悦"
8fb87df5b7eb4eeead55ae08031fee6e,河湟旧卒,唐代 张乔,"
少年随将讨河湟，头白时清返故乡。 <br>十万汉军零落尽，独吹边曲向残阳。
","边塞,战争"
3a3d89e2f4584553ab1ecebad18557f2,听蜀僧濬弹琴 / 听蜀僧浚弹琴,唐代 李白,"
蜀僧抱绿绮，西下峨眉峰。<br>为我一挥手，如听万壑松。 <br>客心洗流水，余响入霜钟。<br>不觉碧山暮，秋云暗几重。
","唐诗三百首,音乐"
ecccb708cf61433092502487d18fb7cb,虞美人·秋感,宋代 吴文英,"
背庭缘恐花羞坠。心事遥山里。小帘愁卷月笼明。一寸秋怀禁得、几蛩声。 <br>井梧不放西风起。供与离人睡。梦和新月未圆时。起看檐蛛结网、又寻思。
","秋天,写景,怀乡"
f2563c36848f42aaa4d2751fb602bb01,发宜兴,宋代 曾几,"
老境垂垂六十年，又将家上铁头船。<br>客留阳羡只三月，归去玉溪无一钱。<br>观水观山都废食，听风听雨不妨眠。<br>从今布袜青鞵梦，不到张公即善权。
","羁旅,感慨,伤怀"
09b789815d674c998f9fc6b0cf93cac6,小儿不畏虎,宋代 苏轼,"
　　有妇人昼日置小儿沙上而浣衣于水者。虎自山上驰来，妇人仓皇沉水避之。二小儿戏沙上自若。虎熟视久之，至以首抵触，庶几其一就惧；而儿痴，竟不知。虎亦寻卒去。噫，虎之食人，先被之以威，而不惧之人，威亦无所施欤！
","初中文言文,哲理,寓言,故事"
28835a013e6b468db33d6d24e2078cef,长亭怨慢·重过中庵故园,宋代 王沂孙,"
泛孤艇、东皋过遍。尚记当日，绿阴门掩。屐齿莓阶，酒痕罗袖事何限。欲寻前迹，空惆怅、成秋苑。自约赏花人，别后总、风流云散。<br>水远。怎知流水外，却是乱山尤远。天涯梦短。想忘了，绮疏雕槛。望不尽，冉冉斜阳，抚乔木、年华将晚。但数点红英，犹记西园凄婉。
","记事,感怀,情怀"
991bf07cec7043419f3322b7f09ca635,小重山令·赋潭州红梅,宋代 姜夔,"
人绕湘皋月坠时。斜横花树小，浸愁漪。一春幽事有谁知？东风冷，香远茜裙归。<br>鸥去昔游非。遥怜花可可，梦依依。九疑云杳断魂啼。相思血，都沁绿筠枝。
","婉约,咏物,梅花,写人,相思"
1ce4b3bb8375499e8ec1678908213899,书摩崖碑后,宋代 黄庭坚,"
春风吹船著浯溪，扶藜上读《中兴碑》。<br>平生半世看墨本，摩挲石刻鬓成丝。<br>明皇不作苞桑计，颠倒四海由禄儿。<br>九庙不守乘舆西，万官已作鸟择栖。<br>抚军监国太子事，何乃趣取大物为？<br>事有至难天幸耳，上皇蹰蹐还京师。<br>内间张后色可否？外间李父颐指挥。<br>南内凄凉几苟活，高将军去事尤危。<br>臣结春秋二三策，臣甫杜鹃再拜诗。<br>安知忠臣痛至骨，世上但赏琼琚词。<br>同来野僧六七辈，亦有文士相追随。<br>断崖苍藓对立久，冻雨为洗前朝悲。
","咏史怀古,议论,抒情"
7cf0a7d10e1c4bd0851493d328954979,大有·九日,宋代 潘希白,"
戏马台前，采花篱下，问岁华、还是重九。恰归来、南山翠色依旧。帘栊昨夜听风雨，都不似、登临时候。一片宋玉情怀，十分卫郎清瘦。 <br>红萸佩、空对酒。砧杵动微寒，暗欺罗袖。秋已无多，早是败荷衰柳。强整帽檐欹侧，曾经向、天涯搔首。几回忆，故国莼鲈，霜前雁後。
","重阳节,悲秋,思归,抒怀,情怀"
7628cb829057409599cc1e8dbc12a97a,夏夜苦热登西楼,唐代 柳宗元,"
苦热中夜起，登楼独褰衣。<br>山泽凝暑气，星汉湛光辉。<br>火晶燥露滋，野静停风威。<br>探汤汲阴井，炀灶开重扉。<br>凭阑久彷徨，流汗不可挥。<br>莫辩亭毒意，仰诉璿与玑。<br>谅非姑射子，静胜安能希。
","夏天,夜晚,抒情,忧国忧民"
383d2f5133174acb861cca552c4a48c1,忆江南三首,唐代 白居易,"
<br>
<br>
<br>
","唐诗三百首,怀念,江南"
05ebca0813934c39b536934f338dea03,谢池春慢·玉仙观道中逢谢媚卿,宋代 张先,"
缭墙重院，时闻有、啼莺到。绣被掩余寒，画幕明新晓。朱槛连空阔，飞絮无多少。径莎平，池水渺。日长风静，花影闲相照。<br>尘香拂马，逢谢女、城南道。秀艳过施粉，多媚生轻笑。斗色鲜衣薄，碾玉双蝉小。欢难偶，春过了。琵琶流怨，都入相思调。
","春天,写景,惜春,爱情"
