name,cover,price,author,publisher,isbn,publish_date,pages,path
中文科技资料目录,https://a.dushu.com/img/n200.png,¥0.00,西安交通大学图书馆编辑,西安交通大学图书馆,,1973-01-01,339页,中国文学论著集目续编.jpg
烃蛋白技术：文献索引,https://a.dushu.com/img/n200.png,¥0.00,甘肃石油酵母饲料化会战组编,甘肃石油酵母饲料化会战组,,1972-01-01,68页,中国文学论著集目续编.jpg
科学技术期刊目录,https://a.dushu.com/img/n200.png,¥0.00,上海市冶金局中心试验室图书馆编,上海市冶金局中心试验室图书馆,,1958-01-01,46页,中国文学论著集目续编.jpg
上海科技文献译稿通报：1966,https://a.dushu.com/img/n200.png,¥0.50,上海科学技术情报所编,上海科学技术情报所,,1966-01-01,256页,中国文学论著集目续编.jpg
上海图书馆工程技术外文期刊论文索引,https://a.dushu.com/img/n200.png,¥0.00,上海图书馆编,上海图书馆,,1958-01-01,2册，74页，100页,中国文学论著集目续编.jpg
科技资料目录索引,https://a.dushu.com/img/n200.png,¥0.00,江西省革命委员会计划委员会科技情报研究所编,江西省革命委员会计划委员会科技情报研究所,,1972-01-01,3册，29页，29页，27页,中国文学论著集目续编.jpg
技术革命参考资料索引,https://a.dushu.com/img/n200.png,¥0.00,辽宁省图书馆编,辽宁省图书馆,,1958-01-01,2册，19页，12页,中国文学论著集目续编.jpg
科技资料目录：科技资料展览会金属工艺、机械制造、化学工业部分,https://a.dushu.com/img/n200.png,¥0.00,辽宁科学技术资料展览会等编,辽宁科学技术资料展览会,,1966-01-01,61页,中国文学论著集目续编.jpg
1971年馆藏内部资料目录,https://a.dushu.com/img/n200.png,¥0.00,冶金部情报标准研究所编辑,冶金部情报标准研究所,,1972-01-01,110页,中国文学论著集目续编.jpg
抚顺地区专业馆及市馆所藏稀有科技书刊联合选目,https://a.dushu.com/img/n200.png,¥0.00,抚顺市图书馆编,抚顺市图书馆,,1957-01-01,194页,中国文学论著集目续编.jpg
成都电讯工程学院中日文科技图书目录,https://a.dushu.com/img/n200.png,¥0.00,成都电讯工程学院图书馆编,四川成都电讯工程学院图书馆,,1958-01-01,358页,中国文学论著集目续编.jpg
国内科技资料目录：1973,https://a.dushu.com/img/n200.png,¥1.20,中国科学技术情报研究所4编,中国科学技术情报研究所,,1973-01-01,2册，53页，62页,中国文学论著集目续编.jpg
科技图书目录索引,https://a.dushu.com/img/n200.png,¥0.00,兰州铁路局科学技术研究所编,兰州铁路局科学技术研究所,,1900-01-01,26页,中国文学论著集目续编.jpg
青岛市图书馆馆藏中医药图书目录,https://a.dushu.com/img/n200.png,¥0.00,青岛市图书馆编,青岛市图书馆,,1956-01-01,48页,中国文学论著集目续编.jpg
为钢而战学习参考资料索引：附 馆藏中文钢铁图书目录,https://a.dushu.com/img/n200.png,¥0.00,重庆市图书馆编,重庆市图书馆,,1958-01-01,102页,中国文学论著集目续编.jpg
